,fk_user,valor_emprestimo,best_propension,valor_disponivel_para_emprestimo,simulou,renda_bruta,v3_salario_1,v2_entradas_recorrentes_mediana,tem_carro,boavista_score_valor,boavista_score12_valor,gb0007_propensity_score,gb0020_propensity_score,tem_gb_emprestimo_vigente,date_diff,AMERICAN_EXPRESS,BANCO_BRADESCO,BANCO_CITIBANK,BANCO_DO_BRASIL,BANCO_INTER,BANCO_ITAUCARD,BANCO_ITAU_UNIBANCO,BANCO_ORIGINAL,BANCO_PAN,BANCO_SANTANDER,CAIXA_ECONOMICA_FEDERAL,CONTA_MANUAL,HSBC,NUBANK,VR_BENEFICIOS
fk_user,1.0,-0.019798909157763292,0.04764922319712749,-0.12889930778582057,-0.0064094048932929375,-0.11365796242593462,-0.09979692123083775,-0.06921980555709555,-0.12173884562276815,-0.014884762521227087,-0.019487075565626167,0.036681126028244616,-0.01971750550031129,-0.034578950536237114,-0.33122506578631095,-0.06787750444502999,-0.000517136975102972,-0.06581593675717977,-0.11232364740482005,-0.040058566518275114,-0.036728624153124556,-0.09387489099503331,-0.012950741004865667,,-0.013555320046641686,-0.09774126759824527,-0.01636373303474077,-0.080283322588382,-0.06511059816400291,
valor_emprestimo,-0.019798909157763292,1.0,-0.03393728080409812,0.17117154985951652,0.006142923766525728,0.2140025100431498,0.19063480919495523,0.08225270040245905,0.03359128956292219,0.08524572323979795,0.09073012182472795,-0.005626407516741077,-0.04738427222184538,0.003500871355109624,-0.0007506601990360244,0.014960242850337787,-0.004821076497380779,0.009749146689847724,0.0010878167574359988,-0.0028174347750251376,0.0006089364950108552,0.013458782065191256,0.0006082584613186019,,0.009810290088281026,0.001218491250297651,-0.0008091100903633006,0.004733756245703465,0.0005698667182361915,
best_propension,0.04764922319712749,-0.03393728080409812,1.0,-0.161483958041142,0.030383622585325957,-0.0935207732441424,-0.07762232726945167,-0.053774679314580597,-0.03523748270617567,-0.16301177324314978,-0.16388045221513126,0.3118598397854857,0.1595892944082711,0.014749676566975482,-0.0011318200210461626,-0.008362420156314875,0.03412848384077345,-0.026653504828577576,0.09486793007152142,-0.010176086539154286,0.0059451026218999715,-0.18539401130302033,0.010108184350190596,,0.06296186301519312,-0.0028256140092777484,-0.021065837716113475,-0.007757881566517147,-0.0751628362738624,
valor_disponivel_para_emprestimo,-0.12889930778582057,0.17117154985951652,-0.161483958041142,1.0,-0.11772338351533473,0.567400595107819,0.5069419092357235,0.39849385681532695,0.2903507830974166,0.13504858197807118,0.19793329099461426,-0.09606683511994997,-0.08417730227216585,0.0051236534943146774,0.206062546835521,0.058096396453005135,-0.015971322046663333,0.055482220227206676,-0.0005585504775113829,-0.031310914147849346,-0.001820783459410024,0.04396070366186205,0.006696162688769525,,-0.011255759698592877,0.015380966091160941,-0.04056079835319645,0.03909870758981226,-0.038794646640046525,
simulou,-0.0064094048932929375,0.006142923766525728,0.030383622585325957,-0.11772338351533473,1.0,0.022316186666745445,-0.001104340516300325,0.016618283709597,0.049057124303542865,0.18883808777603658,0.16898585200608518,0.04086959451754652,0.17652994225232838,0.10020946839336069,-0.12841091662127796,0.0002688118954428082,-0.00878242489756759,0.010461385872042976,0.015538786341683127,0.010982945449798262,0.019307838360033937,-0.014817125810913783,0.003569451817596856,,0.034112205015167756,0.014255575641530507,-0.017566410848472033,0.00467478848249413,0.06749970451618141,
renda_bruta,-0.11365796242593462,0.2140025100431498,-0.0935207732441424,0.567400595107819,0.022316186666745445,1.0,0.6163670817868246,0.5030934453498003,0.27800532277134843,0.12024480234779203,0.13626803631038586,0.025787146768932546,-0.04338010919937032,0.03895864008157803,-0.07551177518973508,0.09228976391736458,0.03000321632258714,0.08149683891903076,0.02145639854838281,0.005548632709929877,0.019356789262680404,0.01701341969447432,0.019881203150644414,,0.05634772850236871,0.04985249190505733,-0.003901436747732093,0.07638380358917786,0.017396761413102448,
v3_salario_1,-0.09979692123083775,0.19063480919495523,-0.07762232726945167,0.5069419092357235,-0.001104340516300325,0.6163670817868246,1.0,0.5342295575988528,0.18841132342570627,0.1006157748990473,0.11056954279730695,-0.08198749060069956,-0.09940109738102748,-0.016301078213449345,-0.023771390203438436,0.07881123667751516,-0.00643682035658286,0.08988102645834803,0.04726274858035673,-0.014369379255456513,0.009793937986652403,-0.0181460642099764,-0.00040332930891869137,,0.008276745502922409,0.049355725990411665,-0.0007111857862477562,0.041674275642935396,0.00665753952679125,
v2_entradas_recorrentes_mediana,-0.06921980555709555,0.08225270040245905,-0.053774679314580597,0.39849385681532695,0.016618283709597,0.5030934453498003,0.5342295575988528,1.0,0.22375371610221487,0.09441608132148359,0.108601004012652,0.04566013475969701,-0.05156861984233521,0.036412610981283844,-0.060234335947857494,0.06856014955380944,0.04084530182512245,0.05136843787019516,0.031150304046933436,0.014796778545788498,0.01153251997262888,0.009540060293181572,0.019538743948753542,,0.05038594077032476,0.04336807990159721,0.006067703872456224,0.037570978582874365,0.011813996156061338,
tem_carro,-0.12173884562276815,0.03359128956292219,-0.03523748270617567,0.2903507830974166,0.049057124303542865,0.27800532277134843,0.18841132342570627,0.22375371610221487,1.0,0.13667534168784,0.1594503462821558,0.12192837122064,0.027059018490700436,0.0381647353142657,-0.06400414312071703,0.03494005351935599,-0.0018085331649092247,0.03515009545684767,0.11860977676418955,0.0063019999800872015,0.024815509104961893,-0.07722891011845966,-0.004257581520470095,,0.05900565202472418,0.059548608773888116,0.023067745497298616,0.024901445531624183,0.05022625542734645,
boavista_score_valor,-0.014884762521227087,0.08524572323979795,-0.16301177324314978,0.13504858197807118,0.18883808777603658,0.12024480234779203,0.1006157748990473,0.09441608132148359,0.13667534168784,1.0,0.8562598692364459,-0.03341659254265077,-0.10986563686869241,0.11030597148654948,-0.017147080379825742,0.03163248647805014,-0.04240689532668058,0.034020426734200145,0.0651706789409393,0.010062912282100916,0.03276747730186522,-0.06314802570028978,-0.0017434921990242397,,-0.05669321116953749,0.005678564148635629,-0.008958758529711524,0.004120122655292195,0.1658183884324427,
